name frequency mean_age
maria anunciacion 1838 64.9
eliana 1837 28.6
antonina 1835 66.7
maria amalia 1834 55
ana paula 1830 32.1
agnes 1825 34.9
amira 1824 7.7
maria coro 1813 56.9
cipriana 1811 71.3
camelia 1804 39.5
julita 1804 68.5
blasa 1800 68.6
arlet 1797 3.6
claudia maria 1795 25.7
severina 1792 72.2
ivana 1776 26.7
aintzane 1773 31.3
kaoutar 1772 20.1
rosa elena 1769 46.1
erundina 1765 72.4
florica 1762 46.3
maria juliana 1762 55.2
farida 1759 40.4
olvido 1758 67.2
pura 1749 68.8
rania 1745 8
maria roser 1741 56.5
maria emma 1740 50.5
maria marta 1740 50.1
jovita 1733 66.7
silvana 1728 34.1
andreea 1726 21.6
margarita maria 1722 50.6
yolanda maria 1722 41.2
cesarea 1717 74.3
josune 1717 35.1
yara 1715 14.1
beatriz maria 1713 35.5
lenuta 1711 42.2
galina 1707 48.8
eneritz 1704 21.1
esperanza macarena 1700 31.9
idoya 1700 38.6
iuliana 1699 37.9
garbiñe 1694 43.4
yousra 1694 12.2
hakima 1693 34.1
claudia patricia 1690 38.6
candelas 1688 67.1
lucinda 1688 65.9
flor maria 1686 46.3
paola andrea 1686 31.2
houda 1683 20.9
yoana 1683 26.1
corina 1682 37.1
claudina 1681 68.2
dora 1681 54.8
josepa 1677 69.1
nabila 1675 27.5
maria iciar 1673 55.4
fouzia 1667 36.3
miren edurne 1665 51.7
nereida 1658 29.8
alaitz 1656 20.4
custodia 1655 62.9
maria macarena 1651 37.6
blanca rosa 1648 53.2
sandra milena 1642 35.8
maria petra 1638 61.5
andrea maria 1636 23
leocadia 1635 67.1
maria felicidad 1635 56.2
dana 1630 16.9
dominica 1630 70.1
benilde 1629 70.9
maria milagrosa 1628 54
aldara 1625 12.5
susanna 1624 38.8
martha cecilia 1618 45.7
mayra 1617 25.6
chaimae 1612 15.1
maria lidia 1607 52.2
noelia maria 1607 29.8
arrate 1606 29.2
maria milagro 1606 55.8
agripina 1605 71.4
catherine 1602 41.3
etelvina 1602 70.4
lidia esther 1600 42.4
carla maria 1599 18.9
maria patricia 1596 38.9
joanna 1594 27.5
ainoha 1593 14.3
lorena maria 1592 27.6
milena 1591 24.9
america 1589 65.3
zulema 1589 29.6
maia 1586 13
aquilina 1585 71.4
ariane 1584 15.1
clemencia 1582 66.1
dafne 1581 10.7
karla 1581 13
demetria 1580 72.3
librada 1580 65.8
ana jesus 1577 49.5
samanta 1573 22.8
dalia 1570 30
alejandra maria 1565 28.8
adolfina 1558 65.4
lourdes maria 1556 30.4
melani 1556 17.7
yasmine 1556 10.3
alessandra 1553 26.3
maria andrea 1547 45.9
maria transito 1547 61.2
rosa delia 1543 47.8
maria silvia 1541 44.7
astrid 1535 26.5
carmen gloria 1527 48.3
evelia 1519 67.2
sheyla 1519 17.1
elba 1518 25.4
indira 1518 12
amadora 1516 67.9
maria coral 1512 46
sandra patricia 1510 39.3
viviana 1509 33.6
santa 1506 60.4
aurora maria 1505 39.7
ceferina 1501 71.1
alejandrina 1499 65.1
meryem 1499 24.1
diana carolina 1497 25.5
celina 1496 52.4
hilda 1494 54.7
